Date,Visitor,G,Home,G,,Att.,LOG,Notes
2018-10-03,Anaheim Ducks,,San Jose Sharks,,,,,
2018-10-03,Montreal Canadiens,,Toronto Maple Leafs,,,,,
2018-10-03,Calgary Flames,,Vancouver Canucks,,,,,
2018-10-03,Boston Bruins,,Washington Capitals,,,,,
2018-10-04,Boston Bruins,,Buffalo Sabres,,,,,
2018-10-04,New York Islanders,,Carolina Hurricanes,,,,,
2018-10-04,Minnesota Wild,,Colorado Avalanche,,,,,
2018-10-04,Arizona Coyotes,,Dallas Stars,,,,,
2018-10-04,Columbus Blue Jackets,,Detroit Red Wings,,,,,
2018-10-04,Nashville Predators,,New York Rangers,,,,,
2018-10-04,Chicago Blackhawks,,Ottawa Senators,,,,,
2018-10-04,Washington Capitals,,Pittsburgh Penguins,,,,,
2018-10-04,Winnipeg Jets,,St. Louis Blues,,,,,
2018-10-04,Philadelphia Flyers,,Vegas Golden Knights,,,,,
2018-10-05,Carolina Hurricanes,,Columbus Blue Jackets,,,,,
2018-10-05,San Jose Sharks,,Los Angeles Kings,,,,,
2018-10-06,Anaheim Ducks,,Arizona Coyotes,,,,,
2018-10-06,New York Rangers,,Buffalo Sabres,,,,,
2018-10-06,Vancouver Canucks,,Calgary Flames,,,,,
2018-10-06,Philadelphia Flyers,,Colorado Avalanche,,,,,
2018-10-06,Winnipeg Jets,,Dallas Stars,,,,,
2018-10-06,Vegas Golden Knights,,Minnesota Wild,,,,,
2018-10-06,Edmonton Oilers,,New Jersey Devils,,,,,
2018-10-06,Nashville Predators,,New York Islanders,,,,,
2018-10-06,Montreal Canadiens,,Pittsburgh Penguins,,,,,
2018-10-06,Chicago Blackhawks,,St. Louis Blues,,,,,
2018-10-06,Florida Panthers,,Tampa Bay Lightning,,,,,
2018-10-06,Ottawa Senators,,Toronto Maple Leafs,,,,,
2018-10-07,New York Rangers,,Carolina Hurricanes,,,,,
2018-10-07,Toronto Maple Leafs,,Chicago Blackhawks,,,,,
2018-10-07,Detroit Red Wings,,Los Angeles Kings,,,,,
2018-10-08,Detroit Red Wings,,Anaheim Ducks,,,,,
2018-10-08,Ottawa Senators,,Boston Bruins,,,,,
2018-10-08,Vegas Golden Knights,,Buffalo Sabres,,,,,
2018-10-08,San Jose Sharks,,New York Islanders,,,,,
2018-10-09,Vancouver Canucks,,Carolina Hurricanes,,,,,
2018-10-09,Colorado Avalanche,,Columbus Blue Jackets,,,,,
2018-10-09,Toronto Maple Leafs,,Dallas Stars,,,,,
2018-10-09,Calgary Flames,,Nashville Predators,,,,,
2018-10-09,San Jose Sharks,,Philadelphia Flyers,,,,,
2018-10-09,Los Angeles Kings,,Winnipeg Jets,,,,,
2018-10-10,Arizona Coyotes,,Anaheim Ducks,,,,,
